数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.027809, train_cro_loss : 4.1732, train_tot_loss : 0.0284, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.1338, accuracy: 0.0627
epoch   1 summary: train_cos_loss : 0.028428, train_cro_loss : 4.1625, train_tot_loss : 0.0290, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.0031, accuracy: 0.1201
epoch   2 summary: train_cos_loss : 0.026794, train_cro_loss : 4.1518, train_tot_loss : 0.0274, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.8700, accuracy: 0.1809
epoch   3 summary: train_cos_loss : 0.027842, train_cro_loss : 4.1410, train_tot_loss : 0.0285, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.7487, accuracy: 0.2275
epoch   4 summary: train_cos_loss : 0.027019, train_cro_loss : 4.1308, train_tot_loss : 0.0276, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.6192, accuracy: 0.2910
epoch   5 summary: train_cos_loss : 0.026134, train_cro_loss : 4.1201, train_tot_loss : 0.0267, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.4877, accuracy: 0.3506
epoch   6 summary: train_cos_loss : 0.026681, train_cro_loss : 4.1089, train_tot_loss : 0.0273, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.3604, accuracy: 0.4050
epoch   7 summary: train_cos_loss : 0.026717, train_cro_loss : 4.0983, train_tot_loss : 0.0273, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2497, accuracy: 0.4392
epoch   8 summary: train_cos_loss : 0.025942, train_cro_loss : 4.0882, train_tot_loss : 0.0266, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.1294, accuracy: 0.4871
epoch   9 summary: train_cos_loss : 0.024416, train_cro_loss : 4.0772, train_tot_loss : 0.0250, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0059, accuracy: 0.5256
epoch  10 summary: train_cos_loss : 0.024954, train_cro_loss : 4.0661, train_tot_loss : 0.0256, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.9156, accuracy: 0.5620
