Before CTE Training: train eu loss: 1.063186526298523, eval eu loss: 1.4517745971679688
Before CTE Training: train eu acc: 0.6669921875, eval eu acc: 0.5794677734375
epoch   0 summary: dyn_dyn_cos_loss: 0.02344, dyn_sta_cos_loss: 0.00701, total_cos_loss : 0.00865, vocab_cro_loss : 4.57670, 
train loss: 3.4214, train acc: 0.2554
epoch   1 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 3.42019, 
epoch   2 summary: dyn_dyn_cos_loss: 0.02027, dyn_sta_cos_loss: 0.00566, total_cos_loss : 0.00712, vocab_cro_loss : 2.99521, 
epoch   3 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.21198, 
epoch   4 summary: dyn_dyn_cos_loss: 0.01554, dyn_sta_cos_loss: 0.00414, total_cos_loss : 0.00528, vocab_cro_loss : 2.14423, 
epoch   5 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.82983, 
epoch   6 summary: dyn_dyn_cos_loss: 0.01112, dyn_sta_cos_loss: 0.00325, total_cos_loss : 0.00403, vocab_cro_loss : 1.80104, 
epoch   7 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.72199, 
epoch   8 summary: dyn_dyn_cos_loss: 0.00791, dyn_sta_cos_loss: 0.00275, total_cos_loss : 0.00327, vocab_cro_loss : 1.68483, 
epoch   9 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.70487, 
epoch  10 summary: dyn_dyn_cos_loss: 0.00597, dyn_sta_cos_loss: 0.00255, total_cos_loss : 0.00290, vocab_cro_loss : 1.82247, 
train loss: 1.9635, train acc: 0.5425
epoch  11 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.96076, 
epoch  12 summary: dyn_dyn_cos_loss: 0.00465, dyn_sta_cos_loss: 0.00257, total_cos_loss : 0.00278, vocab_cro_loss : 2.27323, 
epoch  13 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.00052, 
epoch  14 summary: dyn_dyn_cos_loss: 0.00401, dyn_sta_cos_loss: 0.00252, total_cos_loss : 0.00266, vocab_cro_loss : 1.95452, 
epoch  15 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.83828, 
epoch  16 summary: dyn_dyn_cos_loss: 0.00348, dyn_sta_cos_loss: 0.00254, total_cos_loss : 0.00264, vocab_cro_loss : 1.76084, 
epoch  17 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.81081, 
epoch  18 summary: dyn_dyn_cos_loss: 0.00304, dyn_sta_cos_loss: 0.00225, total_cos_loss : 0.00233, vocab_cro_loss : 1.82018, 
epoch  19 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.88148, 
epoch  20 summary: dyn_dyn_cos_loss: 0.00287, dyn_sta_cos_loss: 0.00234, total_cos_loss : 0.00239, vocab_cro_loss : 2.11052, 
train loss: 1.9536, train acc: 0.5322
epoch  21 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.95159, 
epoch  22 summary: dyn_dyn_cos_loss: 0.00268, dyn_sta_cos_loss: 0.00226, total_cos_loss : 0.00230, vocab_cro_loss : 1.96894, 
epoch  23 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.00383, 
epoch  24 summary: dyn_dyn_cos_loss: 0.00275, dyn_sta_cos_loss: 0.00212, total_cos_loss : 0.00218, vocab_cro_loss : 1.74520, 
epoch  25 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.68192, 
epoch  26 summary: dyn_dyn_cos_loss: 0.00275, dyn_sta_cos_loss: 0.00206, total_cos_loss : 0.00213, vocab_cro_loss : 1.57123, 
epoch  27 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.52468, 
epoch  28 summary: dyn_dyn_cos_loss: 0.00288, dyn_sta_cos_loss: 0.00203, total_cos_loss : 0.00211, vocab_cro_loss : 1.50262, 
epoch  29 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.59931, 
epoch  30 summary: dyn_dyn_cos_loss: 0.00277, dyn_sta_cos_loss: 0.00178, total_cos_loss : 0.00188, vocab_cro_loss : 1.60647, 
train loss: 1.6300, train acc: 0.5752
epoch  31 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.62913, 
epoch  32 summary: dyn_dyn_cos_loss: 0.00253, dyn_sta_cos_loss: 0.00180, total_cos_loss : 0.00188, vocab_cro_loss : 1.61354, 
epoch  33 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.58202, 
epoch  34 summary: dyn_dyn_cos_loss: 0.00243, dyn_sta_cos_loss: 0.00172, total_cos_loss : 0.00179, vocab_cro_loss : 1.52092, 
epoch  35 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.70533, 
epoch  36 summary: dyn_dyn_cos_loss: 0.00235, dyn_sta_cos_loss: 0.00196, total_cos_loss : 0.00200, vocab_cro_loss : 1.51454, 
epoch  37 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.61904, 
epoch  38 summary: dyn_dyn_cos_loss: 0.00249, dyn_sta_cos_loss: 0.00214, total_cos_loss : 0.00217, vocab_cro_loss : 1.56428, 
epoch  39 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.51718, 
epoch  40 summary: dyn_dyn_cos_loss: 0.00289, dyn_sta_cos_loss: 0.00203, total_cos_loss : 0.00212, vocab_cro_loss : 1.53261, 
train loss: 1.5072, train acc: 0.5903
epoch  41 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.50667, 
epoch  42 summary: dyn_dyn_cos_loss: 0.00292, dyn_sta_cos_loss: 0.00197, total_cos_loss : 0.00207, vocab_cro_loss : 1.46424, 
epoch  43 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.41433, 
epoch  44 summary: dyn_dyn_cos_loss: 0.00291, dyn_sta_cos_loss: 0.00196, total_cos_loss : 0.00205, vocab_cro_loss : 1.41456, 
epoch  45 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.42070, 
epoch  46 summary: dyn_dyn_cos_loss: 0.00265, dyn_sta_cos_loss: 0.00178, total_cos_loss : 0.00187, vocab_cro_loss : 1.39562, 
epoch  47 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.39906, 
epoch  48 summary: dyn_dyn_cos_loss: 0.00246, dyn_sta_cos_loss: 0.00187, total_cos_loss : 0.00193, vocab_cro_loss : 1.41239, 
epoch  49 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.41769, 
epoch  50 summary: dyn_dyn_cos_loss: 0.00249, dyn_sta_cos_loss: 0.00189, total_cos_loss : 0.00195, vocab_cro_loss : 1.43525, 
train loss: 1.4004, train acc: 0.6045
epoch  51 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.40014, 
epoch  52 summary: dyn_dyn_cos_loss: 0.00239, dyn_sta_cos_loss: 0.00171, total_cos_loss : 0.00178, vocab_cro_loss : 1.38592, 
epoch  53 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.38245, 
epoch  54 summary: dyn_dyn_cos_loss: 0.00227, dyn_sta_cos_loss: 0.00175, total_cos_loss : 0.00180, vocab_cro_loss : 1.37990, 
epoch  55 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.42850, 
epoch  56 summary: dyn_dyn_cos_loss: 0.00228, dyn_sta_cos_loss: 0.00182, total_cos_loss : 0.00186, vocab_cro_loss : 1.34257, 
epoch  57 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.36136, 
epoch  58 summary: dyn_dyn_cos_loss: 0.00235, dyn_sta_cos_loss: 0.00176, total_cos_loss : 0.00182, vocab_cro_loss : 1.34777, 
epoch  59 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.41085, 
epoch  60 summary: dyn_dyn_cos_loss: 0.00236, dyn_sta_cos_loss: 0.00211, total_cos_loss : 0.00214, vocab_cro_loss : 1.37703, 
train loss: 1.3878, train acc: 0.5957
epoch  61 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.38740, 
epoch  62 summary: dyn_dyn_cos_loss: 0.00242, dyn_sta_cos_loss: 0.00192, total_cos_loss : 0.00197, vocab_cro_loss : 1.36167, 
epoch  63 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.38722, 
epoch  64 summary: dyn_dyn_cos_loss: 0.00232, dyn_sta_cos_loss: 0.00193, total_cos_loss : 0.00196, vocab_cro_loss : 1.35440, 
epoch  65 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.35829, 
epoch  66 summary: dyn_dyn_cos_loss: 0.00234, dyn_sta_cos_loss: 0.00179, total_cos_loss : 0.00185, vocab_cro_loss : 1.34400, 
epoch  67 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.35599, 
epoch  68 summary: dyn_dyn_cos_loss: 0.00238, dyn_sta_cos_loss: 0.00167, total_cos_loss : 0.00174, vocab_cro_loss : 1.33511, 
epoch  69 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.35820, 
epoch  70 summary: dyn_dyn_cos_loss: 0.00224, dyn_sta_cos_loss: 0.00157, total_cos_loss : 0.00163, vocab_cro_loss : 1.32559, 
train loss: 1.3382, train acc: 0.6138
epoch  71 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.33794, 
epoch  72 summary: dyn_dyn_cos_loss: 0.00212, dyn_sta_cos_loss: 0.00147, total_cos_loss : 0.00154, vocab_cro_loss : 1.30523, 
epoch  73 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.38288, 
epoch  74 summary: dyn_dyn_cos_loss: 0.00210, dyn_sta_cos_loss: 0.00160, total_cos_loss : 0.00165, vocab_cro_loss : 1.31878, 
epoch  75 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.33188, 
epoch  76 summary: dyn_dyn_cos_loss: 0.00221, dyn_sta_cos_loss: 0.00142, total_cos_loss : 0.00150, vocab_cro_loss : 1.31081, 
epoch  77 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32260, 
epoch  78 summary: dyn_dyn_cos_loss: 0.00217, dyn_sta_cos_loss: 0.00141, total_cos_loss : 0.00149, vocab_cro_loss : 1.29734, 
epoch  79 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32079, 
epoch  80 summary: dyn_dyn_cos_loss: 0.00213, dyn_sta_cos_loss: 0.00153, total_cos_loss : 0.00159, vocab_cro_loss : 1.29421, 
train loss: 1.3028, train acc: 0.6255
epoch  81 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30269, 
epoch  82 summary: dyn_dyn_cos_loss: 0.00217, dyn_sta_cos_loss: 0.00168, total_cos_loss : 0.00173, vocab_cro_loss : 1.29058, 
epoch  83 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.33702, 
epoch  84 summary: dyn_dyn_cos_loss: 0.00217, dyn_sta_cos_loss: 0.00151, total_cos_loss : 0.00158, vocab_cro_loss : 1.32961, 
epoch  85 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.33968, 
epoch  86 summary: dyn_dyn_cos_loss: 0.00220, dyn_sta_cos_loss: 0.00152, total_cos_loss : 0.00159, vocab_cro_loss : 1.30762, 
epoch  87 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31928, 
epoch  88 summary: dyn_dyn_cos_loss: 0.00218, dyn_sta_cos_loss: 0.00144, total_cos_loss : 0.00151, vocab_cro_loss : 1.28633, 
epoch  89 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30438, 
epoch  90 summary: dyn_dyn_cos_loss: 0.00216, dyn_sta_cos_loss: 0.00152, total_cos_loss : 0.00159, vocab_cro_loss : 1.29690, 
train loss: 1.3452, train acc: 0.6187
epoch  91 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.34482, 
epoch  92 summary: dyn_dyn_cos_loss: 0.00211, dyn_sta_cos_loss: 0.00169, total_cos_loss : 0.00173, vocab_cro_loss : 1.29697, 
epoch  93 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.33343, 
epoch  94 summary: dyn_dyn_cos_loss: 0.00217, dyn_sta_cos_loss: 0.00159, total_cos_loss : 0.00165, vocab_cro_loss : 1.29193, 
epoch  95 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.34379, 
epoch  96 summary: dyn_dyn_cos_loss: 0.00216, dyn_sta_cos_loss: 0.00153, total_cos_loss : 0.00159, vocab_cro_loss : 1.33801, 
epoch  97 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31834, 
epoch  98 summary: dyn_dyn_cos_loss: 0.00211, dyn_sta_cos_loss: 0.00147, total_cos_loss : 0.00153, vocab_cro_loss : 1.30534, 
epoch  99 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32128, 
epoch 100 summary: dyn_dyn_cos_loss: 0.00218, dyn_sta_cos_loss: 0.00141, total_cos_loss : 0.00149, vocab_cro_loss : 1.27709, 
train loss: 1.3037, train acc: 0.6113
epoch 101 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30352, 
epoch 102 summary: dyn_dyn_cos_loss: 0.00211, dyn_sta_cos_loss: 0.00135, total_cos_loss : 0.00143, vocab_cro_loss : 1.28386, 
epoch 103 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30010, 
epoch 104 summary: dyn_dyn_cos_loss: 0.00208, dyn_sta_cos_loss: 0.00132, total_cos_loss : 0.00140, vocab_cro_loss : 1.29131, 
epoch 105 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31279, 
epoch 106 summary: dyn_dyn_cos_loss: 0.00204, dyn_sta_cos_loss: 0.00131, total_cos_loss : 0.00138, vocab_cro_loss : 1.32783, 
epoch 107 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.36999, 
epoch 108 summary: dyn_dyn_cos_loss: 0.00197, dyn_sta_cos_loss: 0.00136, total_cos_loss : 0.00142, vocab_cro_loss : 1.32584, 
epoch 109 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30525, 
epoch 110 summary: dyn_dyn_cos_loss: 0.00198, dyn_sta_cos_loss: 0.00134, total_cos_loss : 0.00140, vocab_cro_loss : 1.29590, 
train loss: 1.3168, train acc: 0.6167
epoch 111 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31653, 
epoch 112 summary: dyn_dyn_cos_loss: 0.00207, dyn_sta_cos_loss: 0.00135, total_cos_loss : 0.00142, vocab_cro_loss : 1.31306, 
epoch 113 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.36093, 
epoch 114 summary: dyn_dyn_cos_loss: 0.00211, dyn_sta_cos_loss: 0.00162, total_cos_loss : 0.00167, vocab_cro_loss : 1.43039, 
epoch 115 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.44082, 
epoch 116 summary: dyn_dyn_cos_loss: 0.00212, dyn_sta_cos_loss: 0.00173, total_cos_loss : 0.00176, vocab_cro_loss : 1.34085, 
epoch 117 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.37524, 
epoch 118 summary: dyn_dyn_cos_loss: 0.00221, dyn_sta_cos_loss: 0.00144, total_cos_loss : 0.00152, vocab_cro_loss : 1.37518, 
