数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.027951, train_cro_loss : 4.1697, train_tot_loss : 0.0286, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.0893, accuracy: 0.0901
epoch   1 summary: train_cos_loss : 0.027172, train_cro_loss : 4.1424, train_tot_loss : 0.0278, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.8552, accuracy: 0.1716
epoch   2 summary: train_cos_loss : 0.027361, train_cro_loss : 4.1150, train_tot_loss : 0.0280, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.6116, accuracy: 0.2593
epoch   3 summary: train_cos_loss : 0.026613, train_cro_loss : 4.0849, train_tot_loss : 0.0272, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.3573, accuracy: 0.3484
epoch   4 summary: train_cos_loss : 0.025878, train_cro_loss : 4.0557, train_tot_loss : 0.0265, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.1505, accuracy: 0.4072
epoch   5 summary: train_cos_loss : 0.025940, train_cro_loss : 4.0292, train_tot_loss : 0.0265, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.9968, accuracy: 0.4487
epoch   6 summary: train_cos_loss : 0.024845, train_cro_loss : 4.0092, train_tot_loss : 0.0254, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.8198, accuracy: 0.4985
epoch   7 summary: train_cos_loss : 0.024215, train_cro_loss : 3.9841, train_tot_loss : 0.0248, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6619, accuracy: 0.5315
epoch   8 summary: train_cos_loss : 0.023304, train_cro_loss : 3.9612, train_tot_loss : 0.0239, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6454, accuracy: 0.5398
epoch   9 summary: train_cos_loss : 0.022885, train_cro_loss : 3.9612, train_tot_loss : 0.0235, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.5640, accuracy: 0.5471
epoch  10 summary: train_cos_loss : 0.021804, train_cro_loss : 3.9481, train_tot_loss : 0.0224, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4933, accuracy: 0.5527
epoch  11 summary: train_cos_loss : 0.021743, train_cro_loss : 3.9342, train_tot_loss : 0.0223, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4412, accuracy: 0.5552
epoch  12 summary: train_cos_loss : 0.020255, train_cro_loss : 3.9238, train_tot_loss : 0.0208, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4350, accuracy: 0.5583
epoch  13 summary: train_cos_loss : 0.019096, train_cro_loss : 3.9251, train_tot_loss : 0.0197, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4110, accuracy: 0.5515
