Before CTE Training: train eu loss: 0.2869470715522766, eval eu loss: 1.400346279144287
Before CTE Training: train eu acc: 1.0, eval eu acc: 0.576171875
epoch   0 summary: train_cos_loss : 0.083069, train_cro_loss : 4.7997, train_tot_loss : 1.4981, vocab_cos_loss : 0.048961, 
train loss: 3.3807, accuracy: 0.2666
epoch   1 summary: train_cos_loss : 0.071716, train_cro_loss : 2.4744, train_tot_loss : 0.7925, vocab_cos_loss : 0.032744, 
epoch   2 summary: train_cos_loss : 0.064930, train_cro_loss : 1.5628, train_tot_loss : 0.5143, vocab_cos_loss : 0.023395, 
epoch   3 summary: train_cos_loss : 0.061918, train_cro_loss : 1.2616, train_tot_loss : 0.4218, vocab_cos_loss : 0.019352, 
epoch   4 summary: train_cos_loss : 0.059708, train_cro_loss : 0.8996, train_tot_loss : 0.3117, vocab_cos_loss : 0.015223, 
epoch   5 summary: train_cos_loss : 0.056323, train_cro_loss : 0.9059, train_tot_loss : 0.3112, vocab_cos_loss : 0.013763, 
epoch   6 summary: train_cos_loss : 0.053036, train_cro_loss : 0.8590, train_tot_loss : 0.2948, vocab_cos_loss : 0.012013, 
epoch   7 summary: train_cos_loss : 0.050532, train_cro_loss : 0.4661, train_tot_loss : 0.1752, vocab_cos_loss : 0.010948, 
epoch   8 summary: train_cos_loss : 0.049125, train_cro_loss : 0.3658, train_tot_loss : 0.1441, vocab_cos_loss : 0.010204, 
epoch   9 summary: train_cos_loss : 0.048611, train_cro_loss : 0.3406, train_tot_loss : 0.1362, vocab_cos_loss : 0.008859, 
epoch  10 summary: train_cos_loss : 0.047144, train_cro_loss : 0.2541, train_tot_loss : 0.1092, vocab_cos_loss : 0.008357, 
train loss: 0.2297, accuracy: 0.9443
epoch  11 summary: train_cos_loss : 0.046400, train_cro_loss : 0.1578, train_tot_loss : 0.0798, vocab_cos_loss : 0.007569, 
epoch  12 summary: train_cos_loss : 0.043660, train_cro_loss : 0.1871, train_tot_loss : 0.0867, vocab_cos_loss : 0.007665, 
epoch  13 summary: train_cos_loss : 0.043562, train_cro_loss : 0.2437, train_tot_loss : 0.1036, vocab_cos_loss : 0.006690, 
epoch  14 summary: train_cos_loss : 0.043148, train_cro_loss : 0.1803, train_tot_loss : 0.0843, vocab_cos_loss : 0.006414, 
epoch  15 summary: train_cos_loss : 0.042599, train_cro_loss : 0.0549, train_tot_loss : 0.0463, vocab_cos_loss : 0.006348, 
epoch  16 summary: train_cos_loss : 0.039773, train_cro_loss : 0.0585, train_tot_loss : 0.0454, vocab_cos_loss : 0.005987, 
epoch  17 summary: train_cos_loss : 0.039203, train_cro_loss : 0.0216, train_tot_loss : 0.0339, vocab_cos_loss : 0.005704, 
epoch  18 summary: train_cos_loss : 0.036555, train_cro_loss : 0.0191, train_tot_loss : 0.0313, vocab_cos_loss : 0.005526, 
epoch  19 summary: train_cos_loss : 0.035491, train_cro_loss : 0.0145, train_tot_loss : 0.0292, vocab_cos_loss : 0.005369, 
epoch  20 summary: train_cos_loss : 0.034468, train_cro_loss : 0.0144, train_tot_loss : 0.0285, vocab_cos_loss : 0.005320, 
train loss: 0.0132, accuracy: 0.9980
epoch  21 summary: train_cos_loss : 0.034350, train_cro_loss : 0.0103, train_tot_loss : 0.0271, vocab_cos_loss : 0.005200, 
epoch  22 summary: train_cos_loss : 0.033131, train_cro_loss : 0.0065, train_tot_loss : 0.0251, vocab_cos_loss : 0.005185, 
epoch  23 summary: train_cos_loss : 0.032647, train_cro_loss : 0.0078, train_tot_loss : 0.0252, vocab_cos_loss : 0.005141, 
epoch  24 summary: train_cos_loss : 0.032152, train_cro_loss : 0.0089, train_tot_loss : 0.0252, vocab_cos_loss : 0.005135, 
epoch  25 summary: train_cos_loss : 0.032283, train_cro_loss : 0.0057, train_tot_loss : 0.0243, vocab_cos_loss : 0.005812, 
epoch  26 summary: train_cos_loss : 0.031641, train_cro_loss : 0.0049, train_tot_loss : 0.0236, vocab_cos_loss : 0.005812, 
epoch  27 summary: train_cos_loss : 0.031151, train_cro_loss : 0.0045, train_tot_loss : 0.0232, vocab_cos_loss : 0.005812, 
epoch  28 summary: train_cos_loss : 0.030787, train_cro_loss : 0.0050, train_tot_loss : 0.0230, vocab_cos_loss : 0.005812, 
epoch  29 summary: train_cos_loss : 0.030427, train_cro_loss : 0.0045, train_tot_loss : 0.0226, vocab_cos_loss : 0.005812, 
epoch  30 summary: train_cos_loss : 0.030214, train_cro_loss : 0.0043, train_tot_loss : 0.0224, vocab_cos_loss : 0.005812, 
train loss: 0.0044, accuracy: 1.0000
epoch  31 summary: train_cos_loss : 0.030026, train_cro_loss : 0.0043, train_tot_loss : 0.0223, vocab_cos_loss : 0.005812, 
epoch  32 summary: train_cos_loss : 0.029983, train_cro_loss : 0.0042, train_tot_loss : 0.0223, vocab_cos_loss : 0.005812, 
epoch  33 summary: train_cos_loss : 0.029858, train_cro_loss : 0.0042, train_tot_loss : 0.0222, vocab_cos_loss : 0.005812, 
epoch  34 summary: train_cos_loss : 0.029797, train_cro_loss : 0.0042, train_tot_loss : 0.0221, vocab_cos_loss : 0.005812, 
epoch  35 summary: train_cos_loss : 0.029667, train_cro_loss : 0.0043, train_tot_loss : 0.0221, vocab_cos_loss : 0.005812, 
epoch  36 summary: train_cos_loss : 0.029642, train_cro_loss : 0.0043, train_tot_loss : 0.0220, vocab_cos_loss : 0.005812, 
epoch  37 summary: train_cos_loss : 0.029595, train_cro_loss : 0.0042, train_tot_loss : 0.0220, vocab_cos_loss : 0.005812, 
epoch  38 summary: train_cos_loss : 0.029548, train_cro_loss : 0.0042, train_tot_loss : 0.0220, vocab_cos_loss : 0.005812, 
epoch  39 summary: train_cos_loss : 0.029496, train_cro_loss : 0.0043, train_tot_loss : 0.0219, vocab_cos_loss : 0.005812, 
epoch  40 summary: train_cos_loss : 0.029485, train_cro_loss : 0.0043, train_tot_loss : 0.0219, vocab_cos_loss : 0.005812, 
train loss: 0.0042, accuracy: 1.0000
